001\RGB\1_00.png 001\RGB\2_00.png 001\GT\mask00.png
001\RGB\1_01.png 001\RGB\2_01.png 001\GT\mask01.png
002\RGB\1_00.png 002\RGB\2_00.png 002\GT\mask00.png
002\RGB\1_01.png 002\RGB\2_01.png 002\GT\mask01.png
002\RGB\1_02.png 002\RGB\2_02.png 002\GT\mask02.png
002\RGB\1_03.png 002\RGB\2_03.png 002\GT\mask03.png
002\RGB\1_04.png 002\RGB\2_04.png 002\GT\mask04.png
002\RGB\1_05.png 002\RGB\2_05.png 002\GT\mask05.png
002\RGB\1_06.png 002\RGB\2_06.png 002\GT\mask06.png
002\RGB\1_07.png 002\RGB\2_07.png 002\GT\mask07.png
002\RGB\1_08.png 002\RGB\2_08.png 002\GT\mask08.png
002\RGB\1_09.png 002\RGB\2_09.png 002\GT\mask09.png
003\RGB\1_00.png 003\RGB\2_00.png 003\GT\mask00.png
003\RGB\1_01.png 003\RGB\2_01.png 003\GT\mask01.png
003\RGB\1_02.png 003\RGB\2_02.png 003\GT\mask02.png
003\RGB\1_03.png 003\RGB\2_03.png 003\GT\mask03.png
003\RGB\1_04.png 003\RGB\2_04.png 003\GT\mask04.png
003\RGB\1_05.png 003\RGB\2_05.png 003\GT\mask05.png
004\RGB\1_00.png 004\RGB\2_00.png 004\GT\mask00.png
004\RGB\1_01.png 004\RGB\2_01.png 004\GT\mask01.png
004\RGB\1_02.png 004\RGB\2_02.png 004\GT\mask02.png
004\RGB\1_03.png 004\RGB\2_03.png 004\GT\mask03.png
004\RGB\1_04.png 004\RGB\2_04.png 004\GT\mask04.png
004\RGB\1_05.png 004\RGB\2_05.png 004\GT\mask05.png
004\RGB\1_06.png 004\RGB\2_06.png 004\GT\mask06.png
004\RGB\1_07.png 004\RGB\2_07.png 004\GT\mask07.png
004\RGB\1_08.png 004\RGB\2_08.png 004\GT\mask08.png
004\RGB\1_09.png 004\RGB\2_09.png 004\GT\mask09.png
004\RGB\1_10.png 004\RGB\2_10.png 004\GT\mask10.png
005\RGB\1_00.png 005\RGB\2_00.png 005\GT\mask00.png
005\RGB\1_01.png 005\RGB\2_01.png 005\GT\mask01.png
008\RGB\1_00.png 008\RGB\2_00.png 008\GT\mask00.png
008\RGB\1_01.png 008\RGB\2_01.png 008\GT\mask01.png
008\RGB\1_02.png 008\RGB\2_02.png 008\GT\mask02.png
008\RGB\1_03.png 008\RGB\2_03.png 008\GT\mask03.png
008\RGB\1_04.png 008\RGB\2_04.png 008\GT\mask04.png
008\RGB\1_05.png 008\RGB\2_05.png 008\GT\mask05.png
008\RGB\1_06.png 008\RGB\2_06.png 008\GT\mask06.png
008\RGB\1_07.png 008\RGB\2_07.png 008\GT\mask07.png
010\RGB\1_00.png 010\RGB\2_00.png 010\GT\mask00.png
010\RGB\1_01.png 010\RGB\2_01.png 010\GT\mask01.png
010\RGB\1_02.png 010\RGB\2_02.png 010\GT\mask02.png
011\RGB\1_00.png 011\RGB\2_00.png 011\GT\mask00.png
011\RGB\1_01.png 011\RGB\2_01.png 011\GT\mask01.png
011\RGB\1_02.png 011\RGB\2_02.png 011\GT\mask02.png
011\RGB\1_03.png 011\RGB\2_03.png 011\GT\mask03.png
011\RGB\1_04.png 011\RGB\2_04.png 011\GT\mask04.png
011\RGB\1_05.png 011\RGB\2_05.png 011\GT\mask05.png
011\RGB\1_06.png 011\RGB\2_06.png 011\GT\mask06.png
011\RGB\1_07.png 011\RGB\2_07.png 011\GT\mask07.png
011\RGB\1_08.png 011\RGB\2_08.png 011\GT\mask08.png
011\RGB\1_09.png 011\RGB\2_09.png 011\GT\mask09.png
011\RGB\1_10.png 011\RGB\2_10.png 011\GT\mask10.png
011\RGB\1_11.png 011\RGB\2_11.png 011\GT\mask11.png
013\RGB\1_00.png 013\RGB\2_00.png 013\GT\mask00.png
013\RGB\1_01.png 013\RGB\2_01.png 013\GT\mask01.png
013\RGB\1_02.png 013\RGB\2_02.png 013\GT\mask02.png
013\RGB\1_03.png 013\RGB\2_03.png 013\GT\mask03.png
014\RGB\1_00.png 014\RGB\2_00.png 014\GT\mask00.png
014\RGB\1_01.png 014\RGB\2_01.png 014\GT\mask01.png
014\RGB\1_02.png 014\RGB\2_02.png 014\GT\mask02.png
014\RGB\1_03.png 014\RGB\2_03.png 014\GT\mask03.png
015\RGB\1_00.png 015\RGB\2_00.png 015\GT\mask00.png
015\RGB\1_01.png 015\RGB\2_01.png 015\GT\mask01.png
015\RGB\1_02.png 015\RGB\2_02.png 015\GT\mask02.png
015\RGB\1_03.png 015\RGB\2_03.png 015\GT\mask03.png
015\RGB\1_04.png 015\RGB\2_04.png 015\GT\mask04.png
016\RGB\1_00.png 016\RGB\2_00.png 016\GT\mask00.png
016\RGB\1_01.png 016\RGB\2_01.png 016\GT\mask01.png
016\RGB\1_02.png 016\RGB\2_02.png 016\GT\mask02.png
016\RGB\1_03.png 016\RGB\2_03.png 016\GT\mask03.png
016\RGB\1_04.png 016\RGB\2_04.png 016\GT\mask04.png
016\RGB\1_05.png 016\RGB\2_05.png 016\GT\mask05.png
017\RGB\1_00.png 017\RGB\2_00.png 017\GT\mask00.png
017\RGB\1_01.png 017\RGB\2_01.png 017\GT\mask01.png
018\RGB\1_00.png 018\RGB\2_00.png 018\GT\mask00.png
018\RGB\1_01.png 018\RGB\2_01.png 018\GT\mask01.png
